Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,4,Lip,4,589150,0.6789
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,4,Lip,5,463275,1.0793
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,4,Lip,10,379430,2.6355
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,4,Lip,5,247215,2.0225
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,4,Lip,2,205510,0.9732
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,4,Lip,6,147085,4.0793
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,4,Lip,2,104545,1.9131
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,4,Lip,2,54630,3.661
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,4,Lip,1,53160,1.8811
IX,1998-2002,2000,Pune (Poona),Male,85+,18,4,Lip,1,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,5,Tongue,0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,5,Tongue,0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,5,Tongue,0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,5,Tongue,0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,5,Tongue,3,1059265,0.2832
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,5,Tongue,3,954795,0.3142
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,5,Tongue,8,813295,0.9837
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,5,Tongue,3,689670,0.435
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,5,Tongue,22,589150,3.7342
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,5,Tongue,23,463275,4.9647
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,5,Tongue,23,379430,6.0617
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,5,Tongue,22,247215,8.8991
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,5,Tongue,29,205510,14.1112
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,5,Tongue,24,147085,16.3171
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,5,Tongue,21,104545,20.087
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,5,Tongue,13,54630,23.7964
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,5,Tongue,5,53160,9.4056
IX,1998-2002,2000,Pune (Poona),Male,85+,18,5,Tongue,6,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,6,Base of tongue,0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,6,Base of tongue,0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,6,Base of tongue,0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,6,Base of tongue,0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,6,Base of tongue,0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,6,Base of tongue,1,954795,0.1047
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,6,Base of tongue,1,813295,0.123
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,6,Base of tongue,0,689670,0.0
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,6,Base of tongue,2,589150,0.3395
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,6,Base of tongue,3,463275,0.6476
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,6,Base of tongue,2,379430,0.5271
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,6,Base of tongue,4,247215,1.618
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,6,Base of tongue,6,205510,2.9196
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,6,Base of tongue,4,147085,2.7195
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,6,Base of tongue,6,104545,5.7392
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,6,Base of tongue,4,54630,7.322
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,6,Base of tongue,2,53160,3.7622
IX,1998-2002,2000,Pune (Poona),Male,85+,18,6,Base of tongue,0,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,7,"Tongue, other and unspecified parts",0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,7,"Tongue, other and unspecified parts",0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,7,"Tongue, other and unspecified parts",0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,7,"Tongue, other and unspecified parts",0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,7,"Tongue, other and unspecified parts",3,1059265,0.2832
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,7,"Tongue, other and unspecified parts",2,954795,0.2095
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,7,"Tongue, other and unspecified parts",7,813295,0.8607
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,7,"Tongue, other and unspecified parts",3,689670,0.435
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,7,"Tongue, other and unspecified parts",20,589150,3.3947
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,7,"Tongue, other and unspecified parts",20,463275,4.3171
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,7,"Tongue, other and unspecified parts",21,379430,5.5346
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,7,"Tongue, other and unspecified parts",18,247215,7.2811
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,7,"Tongue, other and unspecified parts",23,205510,11.1917
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,7,"Tongue, other and unspecified parts",20,147085,13.5976
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,7,"Tongue, other and unspecified parts",15,104545,14.3479
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,7,"Tongue, other and unspecified parts",9,54630,16.4745
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,7,"Tongue, other and unspecified parts",3,53160,5.6433
IX,1998-2002,2000,Pune (Poona),Male,85+,18,7,"Tongue, other and unspecified parts",6,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,8,Mouth,0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,8,Mouth,1,846900,0.1181
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,8,Mouth,0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,8,Mouth,0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,8,Mouth,2,1059265,0.1888
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,8,Mouth,2,954795,0.2095
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,8,Mouth,11,813295,1.3525
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,8,Mouth,27,689670,3.9149
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,8,Mouth,51,589150,8.6565
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,8,Mouth,64,463275,13.8147
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,8,Mouth,70,379430,18.4487
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,8,Mouth,61,247215,24.6749
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,8,Mouth,65,205510,31.6286
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,8,Mouth,40,147085,27.1952
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,8,Mouth,33,104545,31.5654
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,8,Mouth,10,54630,18.305
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,8,Mouth,7,53160,13.1678
IX,1998-2002,2000,Pune (Poona),Male,85+,18,8,Mouth,1,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,9,"Mouth, gum",0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,9,"Mouth, gum",0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,9,"Mouth, gum",0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,9,"Mouth, gum",0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,9,"Mouth, gum",2,1059265,0.1888
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,9,"Mouth, gum",0,954795,0.0
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,9,"Mouth, gum",1,813295,0.123
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,9,"Mouth, gum",11,689670,1.595
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,9,"Mouth, gum",16,589150,2.7158
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,9,"Mouth, gum",24,463275,5.1805
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,9,"Mouth, gum",22,379430,5.7982
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,9,"Mouth, gum",30,247215,12.1352
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,9,"Mouth, gum",20,205510,9.7319
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,9,"Mouth, gum",16,147085,10.8781
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,9,"Mouth, gum",21,104545,20.087
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,9,"Mouth, gum",5,54630,9.1525
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,9,"Mouth, gum",3,53160,5.6433
IX,1998-2002,2000,Pune (Poona),Male,85+,18,9,"Mouth, gum",0,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,10,"Mouth, floor of",0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,10,"Mouth, floor of",0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,10,"Mouth, floor of",0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,10,"Mouth, floor of",0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,10,"Mouth, floor of",0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,10,"Mouth, floor of",0,954795,0.0
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,10,"Mouth, floor of",0,813295,0.0
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,10,"Mouth, floor of",0,689670,0.0
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,10,"Mouth, floor of",1,589150,0.1697
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,10,"Mouth, floor of",6,463275,1.2951
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,10,"Mouth, floor of",7,379430,1.8449
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,10,"Mouth, floor of",6,247215,2.427
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,10,"Mouth, floor of",6,205510,2.9196
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,10,"Mouth, floor of",2,147085,1.3598
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,10,"Mouth, floor of",1,104545,0.9565
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,10,"Mouth, floor of",1,54630,1.8305
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,10,"Mouth, floor of",0,53160,0.0
IX,1998-2002,2000,Pune (Poona),Male,85+,18,10,"Mouth, floor of",0,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,11,"Mouth, palate",0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,11,"Mouth, palate",0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,11,"Mouth, palate",0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,11,"Mouth, palate",0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,11,"Mouth, palate",0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,11,"Mouth, palate",0,954795,0.0
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,11,"Mouth, palate",1,813295,0.123
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,11,"Mouth, palate",3,689670,0.435
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,11,"Mouth, palate",1,589150,0.1697
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,11,"Mouth, palate",3,463275,0.6476
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,11,"Mouth, palate",3,379430,0.7907
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,11,"Mouth, palate",1,247215,0.4045
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,11,"Mouth, palate",3,205510,1.4598
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,11,"Mouth, palate",3,147085,2.0396
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,11,"Mouth, palate",1,104545,0.9565
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,11,"Mouth, palate",0,54630,0.0
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,11,"Mouth, palate",1,53160,1.8811
IX,1998-2002,2000,Pune (Poona),Male,85+,18,11,"Mouth, palate",0,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,12,"Mouth, other and unspecified parts",0,837385,0.0
