Cancer_Label,Sex,Period,Age_Group,Age_Group_Sort,Total_Cases,Total_Population,Rate_per_100k
Breast,Female,1998-2002,5-9,2,1,778730,0.12841421288508212
Breast,Female,1998-2002,10-14,3,0,870590,0.0
Breast,Female,1998-2002,15-19,4,4,798260,0.5010898704682685
Breast,Female,1998-2002,20-24,5,7,912800,0.7668711656441718
Breast,Female,1998-2002,25-29,6,25,880815,2.8382804561684347
Breast,Female,1998-2002,30-34,7,71,713015,9.957714774583986
Breast,Female,1998-2002,35-39,8,114,654240,17.424798239178283
Breast,Female,1998-2002,40-44,9,192,485225,39.56927198722242
Breast,Female,1998-2002,45-49,10,218,419695,51.942482040529434
Breast,Female,1998-2002,50-54,11,232,311145,74.56330649697087
Breast,Female,1998-2002,55-59,12,179,226335,79.0863101155367
Breast,Female,1998-2002,60-64,13,184,209555,87.80511083009233
Breast,Female,1998-2002,65-69,14,156,168525,92.56786826880285
Breast,Female,1998-2002,70-74,15,95,111500,85.20179372197309
Breast,Female,1998-2002,75-79,16,58,56570,102.52784161216192
Breast,Female,2003-2007,0-4,1,1,841379,0.11885250285543139
Breast,Female,2003-2007,5-9,2,1,842661,0.11867168410547065
Breast,Female,2003-2007,10-14,3,1,1005738,0.09942947368002403
Breast,Female,2003-2007,15-19,4,1,930824,0.10743169492836455
Breast,Female,2003-2007,20-24,5,8,1062940,0.7526294993132256
Breast,Female,2003-2007,25-29,6,25,1034593,2.4164091579973963
Breast,Female,2003-2007,30-34,7,58,842246,6.886349118903504
Breast,Female,2003-2007,35-39,8,133,773050,17.204579263954468
Breast,Female,2003-2007,40-44,9,202,579958,34.83010838715907
Breast,Female,2003-2007,45-49,10,247,513620,48.090027646898484
Breast,Female,2003-2007,50-54,11,251,377656,66.46260088546191
Breast,Female,2003-2007,55-59,12,217,269642,80.47707701322494
Breast,Female,2003-2007,60-64,13,210,244715,85.81411029156367
Breast,Female,2003-2007,65-69,14,170,210595,80.7236639046511
Breast,Female,2003-2007,70-74,15,130,136640,95.14051522248243
Breast,Female,2003-2007,75-79,16,65,141402,45.96823241538309
Breast,Female,2008-2011,0-4,1,0,829911,0.0
Breast,Female,2008-2011,5-9,2,0,761063,0.0
Breast,Female,2008-2011,10-14,3,0,1094154,0.0
Breast,Female,2008-2011,15-19,4,0,1006524,0.0
Breast,Female,2008-2011,20-24,5,8,1128163,0.7091173881788359
Breast,Female,2008-2011,25-29,6,35,1115926,3.1364086865974983
Breast,Female,2008-2011,30-34,7,72,901495,7.986733148825007
Breast,Female,2008-2011,35-39,8,103,804982,12.795317162371333
Breast,Female,2008-2011,40-44,9,200,637887,31.353515591319468
Breast,Female,2008-2011,45-49,10,259,618364,41.88471515159356
Breast,Female,2008-2011,50-54,11,287,452736,63.39235227594006
Breast,Female,2008-2011,55-59,12,265,301253,87.96592897000195
Breast,Female,2008-2011,60-64,13,240,259687,92.41895050580122
Breast,Female,2008-2011,65-69,14,180,256286,70.23403541356141
Breast,Female,2008-2011,70-74,15,119,160934,73.943355661327
Breast,Female,2008-2011,75-79,16,93,186746,49.80026345945831
Breast,Female,2013-2017,0-4,1,0,1074305,0.0
Breast,Female,2013-2017,5-9,2,0,963313,0.0
Breast,Female,2013-2017,10-14,3,0,907697,0.0
Breast,Female,2013-2017,15-19,4,0,996311,0.0
