Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
XII,2013-2017,2015,Pune (Poona),Female,0-4,1,50,Adrenal gland,0,1074305,0.0
XII,2013-2017,2015,Pune (Poona),Female,5-9,2,50,Adrenal gland,0,963313,0.0
XII,2013-2017,2015,Pune (Poona),Female,10-14,3,50,Adrenal gland,0,907697,0.0
XII,2013-2017,2015,Pune (Poona),Female,15-19,4,50,Adrenal gland,0,996311,0.0
XII,2013-2017,2015,Pune (Poona),Female,20-24,5,50,Adrenal gland,0,1541215,0.0
XII,2013-2017,2015,Pune (Poona),Female,25-29,6,50,Adrenal gland,0,1650504,0.0
XII,2013-2017,2015,Pune (Poona),Female,30-34,7,50,Adrenal gland,0,1297818,0.0
XII,2013-2017,2015,Pune (Poona),Female,35-39,8,50,Adrenal gland,1,1062421,0.0941
XII,2013-2017,2015,Pune (Poona),Female,40-44,9,50,Adrenal gland,1,877902,0.1139
XII,2013-2017,2015,Pune (Poona),Female,45-49,10,50,Adrenal gland,0,736162,0.0
XII,2013-2017,2015,Pune (Poona),Female,50-54,11,50,Adrenal gland,0,610618,0.0
XII,2013-2017,2015,Pune (Poona),Female,55-59,12,50,Adrenal gland,1,513842,0.1946
XII,2013-2017,2015,Pune (Poona),Female,60-64,13,50,Adrenal gland,0,439699,0.0
XII,2013-2017,2015,Pune (Poona),Female,65-69,14,50,Adrenal gland,0,273122,0.0
XII,2013-2017,2015,Pune (Poona),Female,70-74,15,50,Adrenal gland,1,193940,0.5156
XII,2013-2017,2015,Pune (Poona),Female,75-79,16,50,Adrenal gland,0,261372,0.0
VIII,1993-1997,1995,Pune (Poona),Male,0-4,1,221,Adrenal gland,8,654595,1.2221
VIII,1993-1997,1995,Pune (Poona),Male,5-9,2,221,Adrenal gland,5,797660,0.6268
VIII,1993-1997,1995,Pune (Poona),Male,10-14,3,221,Adrenal gland,0,615965,0.0
VIII,1993-1997,1995,Pune (Poona),Male,15-19,4,221,Adrenal gland,0,665315,0.0
VIII,1993-1997,1995,Pune (Poona),Male,20-24,5,221,Adrenal gland,0,721845,0.0
VIII,1993-1997,1995,Pune (Poona),Male,25-29,6,221,Adrenal gland,1,658605,0.1518
VIII,1993-1997,1995,Pune (Poona),Male,30-34,7,221,Adrenal gland,0,603600,0.0
VIII,1993-1997,1995,Pune (Poona),Male,35-39,8,221,Adrenal gland,0,576945,0.0
VIII,1993-1997,1995,Pune (Poona),Male,40-44,9,221,Adrenal gland,0,483375,0.0
VIII,1993-1997,1995,Pune (Poona),Male,45-49,10,221,Adrenal gland,0,355980,0.0
VIII,1993-1997,1995,Pune (Poona),Male,50-54,11,221,Adrenal gland,1,243975,0.4099
VIII,1993-1997,1995,Pune (Poona),Male,55-59,12,221,Adrenal gland,0,145090,0.0
VIII,1993-1997,1995,Pune (Poona),Male,60-64,13,221,Adrenal gland,0,160220,0.0
VIII,1993-1997,1995,Pune (Poona),Male,65-69,14,221,Adrenal gland,0,86120,0.0
VIII,1993-1997,1995,Pune (Poona),Male,70-74,15,221,Adrenal gland,0,67385,0.0
