Cancer_Label,CI5-VIII,CI5-IX,CI5-X,CI5-XI,CI5-XII
Other and unspecified cancers,,YES,YES,,
Other and unspecified female genital organs (C57.1-9),,YES,YES,,
Other and unspecified non-Hodgkin lymphoma,,YES,YES,,
Other and unspecified parts (C15.8-9),,YES,YES,,
Other and unspecified parts (C16.5-9),,YES,YES,,
Other and unspecified parts (C18.8-9),,YES,YES,,
Other and unspecified parts of biliary tract,YES,YES,YES,,
Other and unspecified respiratory and intrathoracic organs,YES,YES,YES,,
Other bones,YES,YES,YES,,
Other embryonal tumours,,YES,YES,,
Other endocrine,YES,YES,YES,YES,YES
Other female genital,YES,,,,
Other female genital organs,YES,YES,YES,YES,YES
"Other leukaemia, cell unspecified",YES,,,,
Other male genital organs,YES,YES,YES,YES,YES
Other morphology,,YES,YES,,
Other myeloid leukaemia,YES,,,,
Other neuroepithelial tumours,,YES,YES,,
Other oropharynx,,,,YES,YES
Other parts of central nervous system,YES,YES,YES,,
Other skin,YES,YES,YES,YES,YES
Other specified (C91.2-7),,YES,YES,,
Other specified carcinoma,,YES,YES,,
Other specified lymphoid leukaemia,YES,,,,
Other specified morphology,,YES,YES,,
Other specified sarcoma,,YES,YES,,
Other specified sarcomas,,YES,YES,,
Other thoracic organs,,,,YES,YES
Other urinary organs,YES,YES,YES,YES,YES
Ovary,YES,YES,YES,YES,YES
Pancreas,YES,YES,YES,YES,YES
Papillary carcinoma,,YES,YES,,
Parotid gland,YES,YES,YES,,
Penis,YES,YES,YES,YES,YES
Peripheral nerves,YES,YES,YES,,
Peritoneum and retroperitoneum,YES,YES,YES,,
Pharynx unspecified,YES,YES,YES,YES,YES
Placenta,YES,YES,YES,YES,YES
Prostate,YES,YES,YES,YES,YES
Pylorus and antrum (C16.3-4),,YES,YES,,
Pyriform sinus,YES,YES,YES,,
Rectosigmoid junction,YES,YES,YES,,
Rectum,YES,YES,YES,YES,YES
Renal pelvis,YES,YES,YES,YES,YES
Respiratory organs,YES,YES,YES,,
Retinoblastoma,,YES,YES,,
Right (C18.0-2),,YES,YES,,
Salivary glands,YES,YES,YES,YES,YES
"Salivary glands, other and unspecified",YES,YES,YES,,
Sarcoma,,YES,YES,,
Seminoma,,YES,YES,,
Serous carcinoma,,YES,YES,,
Sex cord-stromal tumour,,YES,YES,,
Sigmoid (C18.7),,YES,YES,,
Skin,YES,YES,YES,,
Small cell carcinoma,,YES,YES,,
Small intestine,YES,YES,YES,YES,YES
Spermatocytic seminoma,,YES,YES,,
"Spinal cord, cauda equina",YES,,,,
"Spinal cord, cauda equina (C72.0,1)",,YES,YES,,
Squamous cell carcinoma,,YES,YES,,
Stomach,YES,YES,YES,YES,YES
"Stomach, body",YES,,,,
"Stomach, cardia",YES,,,,
"Stomach, fundus",YES,,,,
"Stomach, other and unspecified parts",YES,,,,
"Stomach, pylorus and antrum",YES,,,,
Testis,YES,YES,YES,YES,YES
Thymus,YES,YES,YES,,
Thyroid,YES,YES,YES,YES,YES
Thyroid and other endocrine glands,YES,YES,YES,,
Tongue,YES,YES,YES,YES,YES
"Tongue, base of",YES,,,,
"Tongue, other and unspecified parts",YES,YES,YES,,
Tonsil,YES,YES,YES,YES,YES
Trachea,YES,YES,YES,,
Transitional cell carcinoma,,YES,YES,,
Transverse and flexures (C18.3-5),,YES,YES,,
Trunk (C43.5),,YES,YES,,
Unspecified,,YES,YES,,
Unspecified (C91.9),,YES,YES,,
"Unspecified (C92.9, C93.9)",,YES,YES,,
Unspecified (C95.9),,YES,YES,,
Unspecified carcinoma,,YES,YES,,
"Unspecified leukaemia, cell unspecified",YES,,,,
Unspecified lymphoid leukaemia,YES,,,,
Unspecified morphology,,YES,YES,,
Unspecified myeloid leukaemia,YES,,,,
Unspecified sarcoma,,YES,YES,,
Upper limb (C43.6),,YES,YES,,
"Upper third (C15.0,3)",,YES,YES,,
Ureter,YES,YES,YES,YES,YES
Urinary tract,YES,YES,YES,,
Uterus unspecified,YES,YES,YES,YES,YES
Vagina,YES,YES,YES,YES,YES
Vulva,YES,YES,YES,YES,YES
adenocarcinoma,YES,,,,
anaplastic carcinoma,YES,,,,
basaloid and cloacogenic carcinoma,YES,,,,
but C44 All sites but skin,YES,,,,
"central nervous system, astrocytic tumours",YES,,,,
"central nervous system, choroid plexus tumours",YES,,,,
"central nervous system, cranial nerves tumours",YES,,,,
"central nervous system, ependymal tumours",YES,,,,
"central nervous system, germinoma",YES,,,,
"central nervous system, gliomas of uncertain origin",YES,,,,
"central nervous system, medulloblastoma",YES,,,,
"central nervous system, melanoma",YES,,,,
"central nervous system, meningioma",YES,,,,
"central nervous system, neuronal and mixed neuronal-glial tumours",YES,,,,
"central nervous system, oligodendroglial tumours and mixed gliomas",YES,,,,
"central nervous system, other embryonal tumours",YES,,,,
"central nervous system, other germ cell tumours",YES,,,,
"central nervous system, other specified morphology",YES,,,,
"central nervous system, soft tissue tumours",YES,,,,
"central nervous system, unspecified morphology",YES,,,,
cholangiocarcinoma,YES,,,,
chondrosarcoma,YES,,,,
choriocarcinoma,YES,,,,
clear cell carcinoma,YES,,,,
embryonal carcinoma,YES,,,,
endometrioid carcinoma,YES,,,,
fibrosarcoma,YES,,,,
follicular carcinoma,YES,,,,
germ cell tumour,YES,,,,
haemagiosarcoma,YES,,,,
hepatoblastoma,YES,,,,
hepatocellular carcinoma,YES,,,,
large and undifferentiated cell carcinoma,YES,,,,
medullary carcinoma,YES,,,,
melanoma,YES,,,,
mucinous carcinoma,YES,,,,
osteosarcoma,YES,,,,
other carcinoma,YES,,,,
other morphology,YES,,,,
other sarcoma,YES,,,,
other specified carcinomas,YES,,,,
other specified morphology,YES,,,,
other specified sarcomas,YES,,,,
papillary carcinoma,YES,,,,
retinoblastoma,YES,,,,
sarcoma,YES,,,,
seminoma,YES,,,,
serous carcinoma,YES,,,,
sex cord-stromal tumour,YES,,,,
small cell carcinoma,YES,,,,
squamous cell carcinoma,YES,,,,
teratoma,YES,,,,
transitional cell carcinoma,YES,,,,
unspecified carcinoma,YES,,,,
unspecified morphology,YES,,,,
unspecified sarcoma,YES,,,,
"uteri, adenocarcinoma",YES,,,,
"uteri, other carcinoma",YES,,,,
"uteri, other morphology",YES,,,,
"uteri, sarcoma",YES,,,,
"uteri, squamous cell carcinoma",YES,,,,
"uteri, unspecified carcinoma",YES,,,,
"uteri, unspecified morphology",YES,,,,
