Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
XI,2008-2011,2010,Pune (Poona),Male,70-74,15,4,Salivary glands,0,131185,0.0
XI,2008-2011,2010,Pune (Poona),Male,75-79,16,4,Salivary glands,4,172552,2.3181
XI,2008-2011,2010,Pune (Poona),Male,80-84,17,4,Salivary glands,1,0,
XI,2008-2011,2010,Pune (Poona),Male,85+,18,4,Salivary glands,1,0,
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,5,Tonsil,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,5,Tonsil,0,807911,0.0
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,5,Tonsil,0,1245851,0.0
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,5,Tonsil,0,1270231,0.0
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,5,Tonsil,0,1437551,0.0
XI,2008-2011,2010,Pune (Poona),Male,25-29,6,5,Tonsil,0,1271128,0.0
XI,2008-2011,2010,Pune (Poona),Male,30-34,7,5,Tonsil,0,1026110,0.0
XI,2008-2011,2010,Pune (Poona),Male,35-39,8,5,Tonsil,2,810974,0.2466
XI,2008-2011,2010,Pune (Poona),Male,40-44,9,5,Tonsil,4,720791,0.5549
XI,2008-2011,2010,Pune (Poona),Male,45-49,10,5,Tonsil,3,596503,0.5029
XI,2008-2011,2010,Pune (Poona),Male,50-54,11,5,Tonsil,3,537176,0.5585
XI,2008-2011,2010,Pune (Poona),Male,55-59,12,5,Tonsil,5,345999,1.4451
XI,2008-2011,2010,Pune (Poona),Male,60-64,13,5,Tonsil,5,243451,2.0538
XI,2008-2011,2010,Pune (Poona),Male,65-69,14,5,Tonsil,2,210311,0.951
XI,2008-2011,2010,Pune (Poona),Male,70-74,15,5,Tonsil,1,131185,0.7623
XI,2008-2011,2010,Pune (Poona),Male,75-79,16,5,Tonsil,2,172552,1.1591
XI,2008-2011,2010,Pune (Poona),Male,80-84,17,5,Tonsil,4,0,
XI,2008-2011,2010,Pune (Poona),Male,85+,18,5,Tonsil,3,0,
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,6,Other oropharynx,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,6,Other oropharynx,0,807911,0.0
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,6,Other oropharynx,0,1245851,0.0
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,6,Other oropharynx,0,1270231,0.0
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,6,Other oropharynx,0,1437551,0.0
XI,2008-2011,2010,Pune (Poona),Male,25-29,6,6,Other oropharynx,0,1271128,0.0
XI,2008-2011,2010,Pune (Poona),Male,30-34,7,6,Other oropharynx,0,1026110,0.0
XI,2008-2011,2010,Pune (Poona),Male,35-39,8,6,Other oropharynx,1,810974,0.1233
XI,2008-2011,2010,Pune (Poona),Male,40-44,9,6,Other oropharynx,1,720791,0.1387
XI,2008-2011,2010,Pune (Poona),Male,45-49,10,6,Other oropharynx,3,596503,0.5029
XI,2008-2011,2010,Pune (Poona),Male,50-54,11,6,Other oropharynx,3,537176,0.5585
XI,2008-2011,2010,Pune (Poona),Male,55-59,12,6,Other oropharynx,9,345999,2.6012
XI,2008-2011,2010,Pune (Poona),Male,60-64,13,6,Other oropharynx,4,243451,1.643
XI,2008-2011,2010,Pune (Poona),Male,65-69,14,6,Other oropharynx,7,210311,3.3284
XI,2008-2011,2010,Pune (Poona),Male,70-74,15,6,Other oropharynx,2,131185,1.5246
XI,2008-2011,2010,Pune (Poona),Male,75-79,16,6,Other oropharynx,3,172552,1.7386
XI,2008-2011,2010,Pune (Poona),Male,80-84,17,6,Other oropharynx,1,0,
XI,2008-2011,2010,Pune (Poona),Male,85+,18,6,Other oropharynx,0,0,
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,7,Nasopharynx,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,7,Nasopharynx,2,807911,0.2476
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,7,Nasopharynx,0,1245851,0.0
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,7,Nasopharynx,3,1270231,0.2362
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,7,Nasopharynx,3,1437551,0.2087
XI,2008-2011,2010,Pune (Poona),Male,25-29,6,7,Nasopharynx,2,1271128,0.1573
XI,2008-2011,2010,Pune (Poona),Male,30-34,7,7,Nasopharynx,3,1026110,0.2924
XI,2008-2011,2010,Pune (Poona),Male,35-39,8,7,Nasopharynx,0,810974,0.0
XI,2008-2011,2010,Pune (Poona),Male,40-44,9,7,Nasopharynx,0,720791,0.0
XI,2008-2011,2010,Pune (Poona),Male,45-49,10,7,Nasopharynx,3,596503,0.5029
XI,2008-2011,2010,Pune (Poona),Male,50-54,11,7,Nasopharynx,2,537176,0.3723
XI,2008-2011,2010,Pune (Poona),Male,55-59,12,7,Nasopharynx,2,345999,0.578
XI,2008-2011,2010,Pune (Poona),Male,60-64,13,7,Nasopharynx,1,243451,0.4108
XI,2008-2011,2010,Pune (Poona),Male,65-69,14,7,Nasopharynx,0,210311,0.0
XI,2008-2011,2010,Pune (Poona),Male,70-74,15,7,Nasopharynx,3,131185,2.2868
XI,2008-2011,2010,Pune (Poona),Male,75-79,16,7,Nasopharynx,0,172552,0.0
XI,2008-2011,2010,Pune (Poona),Male,80-84,17,7,Nasopharynx,0,0,
XI,2008-2011,2010,Pune (Poona),Male,85+,18,7,Nasopharynx,0,0,
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,8,Hypopharynx,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,8,Hypopharynx,0,807911,0.0
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,8,Hypopharynx,0,1245851,0.0
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,8,Hypopharynx,0,1270231,0.0
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,8,Hypopharynx,0,1437551,0.0
XI,2008-2011,2010,Pune (Poona),Male,25-29,6,8,Hypopharynx,1,1271128,0.0787
XI,2008-2011,2010,Pune (Poona),Male,30-34,7,8,Hypopharynx,0,1026110,0.0
XI,2008-2011,2010,Pune (Poona),Male,35-39,8,8,Hypopharynx,3,810974,0.3699
XI,2008-2011,2010,Pune (Poona),Male,40-44,9,8,Hypopharynx,3,720791,0.4162
XI,2008-2011,2010,Pune (Poona),Male,45-49,10,8,Hypopharynx,5,596503,0.8382
XI,2008-2011,2010,Pune (Poona),Male,50-54,11,8,Hypopharynx,17,537176,3.1647
XI,2008-2011,2010,Pune (Poona),Male,55-59,12,8,Hypopharynx,9,345999,2.6012
XI,2008-2011,2010,Pune (Poona),Male,60-64,13,8,Hypopharynx,19,243451,7.8044
XI,2008-2011,2010,Pune (Poona),Male,65-69,14,8,Hypopharynx,16,210311,7.6078
XI,2008-2011,2010,Pune (Poona),Male,70-74,15,8,Hypopharynx,15,131185,11.4342
XI,2008-2011,2010,Pune (Poona),Male,75-79,16,8,Hypopharynx,9,172552,5.2158
XI,2008-2011,2010,Pune (Poona),Male,80-84,17,8,Hypopharynx,5,0,
XI,2008-2011,2010,Pune (Poona),Male,85+,18,8,Hypopharynx,2,0,
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,9,Pharynx unspecified,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,9,Pharynx unspecified,0,807911,0.0
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,9,Pharynx unspecified,1,1245851,0.0803
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,9,Pharynx unspecified,0,1270231,0.0
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,9,Pharynx unspecified,0,1437551,0.0
XI,2008-2011,2010,Pune (Poona),Male,25-29,6,9,Pharynx unspecified,0,1271128,0.0
XI,2008-2011,2010,Pune (Poona),Male,30-34,7,9,Pharynx unspecified,0,1026110,0.0
XI,2008-2011,2010,Pune (Poona),Male,35-39,8,9,Pharynx unspecified,0,810974,0.0
XI,2008-2011,2010,Pune (Poona),Male,40-44,9,9,Pharynx unspecified,1,720791,0.1387
XI,2008-2011,2010,Pune (Poona),Male,45-49,10,9,Pharynx unspecified,0,596503,0.0
XI,2008-2011,2010,Pune (Poona),Male,50-54,11,9,Pharynx unspecified,3,537176,0.5585
XI,2008-2011,2010,Pune (Poona),Male,55-59,12,9,Pharynx unspecified,0,345999,0.0
XI,2008-2011,2010,Pune (Poona),Male,60-64,13,9,Pharynx unspecified,5,243451,2.0538
XI,2008-2011,2010,Pune (Poona),Male,65-69,14,9,Pharynx unspecified,4,210311,1.9019
XI,2008-2011,2010,Pune (Poona),Male,70-74,15,9,Pharynx unspecified,0,131185,0.0
XI,2008-2011,2010,Pune (Poona),Male,75-79,16,9,Pharynx unspecified,1,172552,0.5795
XI,2008-2011,2010,Pune (Poona),Male,80-84,17,9,Pharynx unspecified,1,0,
XI,2008-2011,2010,Pune (Poona),Male,85+,18,9,Pharynx unspecified,0,0,
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,10,Oesophagus,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,10,Oesophagus,0,807911,0.0
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,10,Oesophagus,0,1245851,0.0
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,10,Oesophagus,0,1270231,0.0
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,10,Oesophagus,1,1437551,0.0696
